freq	mag(S(1,1))
6.62000000000000011E5	5.34531902083804233E-1
6.63499999999999979E5	5.48442350369085485E-1
6.65000000000000036E5	5.58042414310697588E-1
6.66500000000000092E5	5.67364083736641067E-1
6.67999999999999972E5	5.76415794797472536E-1
6.69500000000000028E5	5.79419100876737225E-1
6.70999999999999908E5	5.82429584530733813E-1
6.72499999999999964E5	5.85498625627663039E-1
6.74000000000000021E5	5.87764681619109641E-1
6.75499999999999989E5	5.89938665941381757E-1
6.77000000000000046E5	5.92421014526342571E-1
6.78499999999999925E5	5.97287799994407198E-1
6.79999999999999982E5	6.05509829957609735E-1
6.81500000000000039E5	6.13556824457297623E-1
6.83000000000000007E5	6.20377173998294751E-1
6.84500000000000064E5	6.15155169267932322E-1
6.85999999999999943E5	6.10206709653366985E-1
6.87500000000000000E5	6.05544569459993998E-1
6.89000000000000057E5	6.01785030033660107E-1
6.90499999999999936E5	5.98195420859579485E-1
6.91999999999999993E5	5.94564803488147309E-1
6.93499999999999961E5	5.96178576981396802E-1
6.95000000000000018E5	6.03875146500358539E-1
6.96500000000000075E5	6.11845566308692845E-1
6.97999999999999954E5	6.18029219458901657E-1
6.99500000000000011E5	6.14285973915744243E-1
7.00999999999999979E5	6.10424218236765448E-1
7.02500000000000036E5	6.06439699955923484E-1
7.04000000000000092E5	6.09496928899473378E-1
7.05499999999999972E5	6.14050538207273000E-1
7.07000000000000028E5	6.19048689409754971E-1
7.08499999999999908E5	6.25445635706664671E-1
7.09999999999999964E5	6.33474814674484854E-1
7.11500000000000021E5	6.42560832233125101E-1
7.12999999999999989E5	6.54492405752074191E-1
7.14500000000000046E5	6.71772889099121961E-1
7.15999999999999925E5	6.88879736334777082E-1
7.17499999999999982E5	7.05729549086276009E-1
7.19000000000000039E5	7.21091766145126467E-1
7.20500000000000007E5	7.36419683110593049E-1
7.22000000000000064E5	7.51701948516787688E-1
7.23499999999999943E5	7.63376187748251755E-1
7.25000000000000000E5	7.72935519404373128E-1
7.26500000000000057E5	7.82209215095513688E-1
7.27999999999999936E5	7.92882741773363708E-1
7.29499999999999993E5	8.06093496596313486E-1
7.30999999999999961E5	8.18581945948168688E-1
7.32500000000000018E5	8.30278225178456353E-1
7.34000000000000075E5	8.39547479575925415E-1
7.35499999999999954E5	8.48467300079124698E-1
7.37000000000000011E5	8.57042014286605891E-1
7.38499999999999979E5	8.68560093205860539E-1
7.40000000000000036E5	8.80375039851497299E-1
7.41500000000000092E5	8.91325994278039246E-1
7.42999999999999972E5	8.99077645731555641E-1
7.44500000000000028E5	9.03519261303380006E-1
7.45999999999999908E5	9.07887696734468364E-1
7.47499999999999964E5	9.12334073041668070E-1
7.49000000000000021E5	9.17481104392101798E-1
7.50499999999999989E5	9.22256077080690417E-1
7.52000000000000046E5	9.26690710102737825E-1
7.53499999999999925E5	9.27949279752463418E-1
7.54999999999999982E5	9.28609772312926829E-1
7.56500000000000039E5	9.29269347625123210E-1
7.58000000000000007E5	9.32110687563160845E-1
